"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"SRSF3","SRSF3",NA,NA,NA,NA,0.000916042632305936,0.0217920670674579
"SERPINB9","SERPINB9",NA,NA,NA,NA,0.00195411832200576,0.0352861493177473
"RP11-1143G9.4","RP11-1143G9.4",NA,NA,NA,NA,1.8587066330511e-09,8.78238884116644e-07
"HSPE1","HSPE1",NA,NA,NA,NA,0.000405733558709542,0.0133750539411808
"BOD1","BOD1",NA,NA,NA,NA,0.000525838916231813,0.0160115257792591
"GAS5","GAS5",NA,NA,NA,NA,0.000729224715533827,0.0192610441168174
"GABARAPL2","GABARAPL2",NA,NA,NA,NA,0.00100673373691085,0.0235139023749106
"TYW5","TYW5",NA,NA,NA,NA,0.000774089339812156,0.0197706601654726
"USP10","USP10",NA,NA,NA,NA,0.00122666184858522,0.0260818975555432
"CDC42EP5","CDC42EP5",NA,NA,NA,NA,0.00144844742375816,0.0294010628617259
"SET","SET",NA,NA,NA,NA,2.28110598632369e-07,4.21104818507987e-05
"PDHA1","PDHA1",NA,NA,NA,NA,0.00319304279736343,0.0489773979089767
"RSRC1","RSRC1",NA,NA,NA,NA,0.000399309857399777,0.0132145149306813
"ASPH","ASPH",NA,NA,NA,NA,0.00189693951562786,0.0346899517434663
"PHF14","PHF14",NA,NA,NA,NA,0.000331198043941994,0.0116881301399446
"CDX1","CDX1",NA,NA,NA,NA,4.6239444525531e-06,0.000524355300919521
"RP11-466H18.1","RP11-466H18.1",NA,NA,NA,NA,0.000644821241492011,0.0178638588237445
"MAPK8","MAPK8",NA,NA,NA,NA,6.45414580668913e-07,0.000101652796455354
"DLG5","DLG5",NA,NA,NA,NA,0.00109010498730799,0.0245924215306485
"GPA33","GPA33",NA,NA,NA,NA,0.000112797966075107,0.00545083353107262
"PCBP1","PCBP1",NA,NA,NA,NA,0.00126124587032206,0.0264209264214017
"SRPK1","SRPK1",NA,NA,NA,NA,0.00129561936082256,0.0270743062992528
"PARK7","PARK7",NA,NA,NA,NA,0.00225266035124416,0.038932693741162
"C21orf59","C21orf59",NA,NA,NA,NA,0.00260441677567058,0.0431784886492754
"PARD6B","PARD6B",NA,NA,NA,NA,1.67305530657247e-05,0.00139503288062734
"ARIH2","ARIH2",NA,NA,NA,NA,0.00330428338929578,0.049471438837985
"TAF7","TAF7",NA,NA,NA,NA,4.49630695823489e-05,0.00269303455491463
"NOTCH2","NOTCH2",NA,NA,NA,NA,0.000185794477211676,0.00782268331032329
"TOMM7","TOMM7",NA,NA,NA,NA,0.000782762344394228,0.0198498318141056
"TMEM171","TMEM171",NA,NA,NA,NA,0.00306988932568963,0.0479952366084381
"POMP","POMP",NA,NA,NA,NA,0.00262014121911491,0.0433546713396349
"SNHG8","SNHG8",NA,NA,NA,NA,0.0033097294178499,0.049471438837985
"AC107016.1","AC107016.1",NA,NA,NA,NA,0.00168680410850885,0.032251121228086
"CNTN4","CNTN4",NA,NA,NA,NA,0.000364361332239715,0.0124955368173338
"AC007969.5","AC007969.5",NA,NA,NA,NA,0.000592549869596337,0.01691153235207
"ITM2C","ITM2C",NA,NA,NA,NA,1.85845711020427e-06,0.000239487541246778
"KPNA3","KPNA3",NA,NA,NA,NA,0.00190337174657484,0.0346899517434663
"RPL21","RPL21",NA,NA,NA,NA,4.07787739803434e-05,0.00256906276076163
"TRPC4AP","TRPC4AP",NA,NA,NA,NA,0.000530633338983066,0.0160115257792591
"HSPA1B","HSPA1B",NA,NA,NA,NA,3.48171272720466e-05,0.00230352602124172
"PDE3B","PDE3B",NA,NA,NA,NA,9.97404365979948e-05,0.00493193263526713
"LBR","LBR",NA,NA,NA,NA,5.2303890996086e-08,1.39013935288035e-05
"RPS5","RPS5",NA,NA,NA,NA,2.86442687170707e-05,0.00204722273477888
"CLK1","CLK1",NA,NA,NA,NA,3.41308399212092e-05,0.00230352602124172
"NBPF20","NBPF20",NA,NA,NA,NA,0.000172184631811789,0.00739611259373367
"ZFC3H1","ZFC3H1",NA,NA,NA,NA,0.000883154661156738,0.0213387227077786
"CALR","CALR",NA,NA,NA,NA,1.49413158190281e-06,0.00020170776355688
"SLC39A4","SLC39A4",NA,NA,NA,NA,0.00244168041095971,0.0410404978166252
"COX11","COX11",NA,NA,NA,NA,0.00097449405834249,0.0230224221283413
"FBLIM1","FBLIM1",NA,NA,NA,NA,0.00115576459095701,0.0254372520455768
"SMC3","SMC3",NA,NA,NA,NA,1.41810188921676e-05,0.0012433975843081
"AOC1","AOC1",NA,NA,NA,NA,0.000623261071554859,0.0176107488823059
"TMSB10","TMSB10",NA,NA,NA,NA,0.00177103009352286,0.0331775571484845
"TBCA","TBCA",NA,NA,NA,NA,0.00106805323311787,0.0242882159028543
"MUM1","MUM1",NA,NA,NA,NA,2.27121881962722e-05,0.0017094438991973
"IFITM2","IFITM2",NA,NA,NA,NA,0.000850051850609157,0.0208909020295406
"THAP5","THAP5",NA,NA,NA,NA,0.000108735597216025,0.00531492100185227
"ID3","ID3",NA,NA,NA,NA,0.00137038059212735,0.0282205494819446
"RP11-492M23.2","RP11-492M23.2",NA,NA,NA,NA,0.000494890404122428,0.0153212722683549
"CD44","CD44",NA,NA,NA,NA,0.00158893504533142,0.0314276571175435
"RBMX2","RBMX2",NA,NA,NA,NA,2.02960495754301e-05,0.00159831390406512
"KIAA1524","KIAA1524",NA,NA,NA,NA,1.36376866066712e-06,0.0001909457463693
"HIGD1A","HIGD1A",NA,NA,NA,NA,0.000682421042236592,0.0184598255418255
"TARBP1","TARBP1",NA,NA,NA,NA,0.000280732116001658,0.0104522428660655
"NOLC1","NOLC1",NA,NA,NA,NA,0.000421963659040125,0.0136977134356346
"DUT","DUT",NA,NA,NA,NA,0.00119536216347949,0.0257381144313747
"HNRNPA3","HNRNPA3",NA,NA,NA,NA,4.27777658060791e-05,0.00258031842681349
"TAF1D","TAF1D",NA,NA,NA,NA,0.00117714126140955,0.0255397612966537
"RPL10","RPL10",NA,NA,NA,NA,0.00018780693664,0.00786846303508967
"IGKC","IGKC",NA,NA,NA,NA,0.000126575930673112,0.00594767011256804
"MT-ND4","MT-ND4",NA,NA,NA,NA,0.00326412092878969,0.0492222491123339
"KRT8","KRT8",NA,NA,NA,NA,8.01836679769075e-05,0.00411421626957688
"PITPNB","PITPNB",NA,NA,NA,NA,0.00130438392272236,0.0271906501538081
"FYB","FYB",NA,NA,NA,NA,0.00200298144768607,0.0357885655726261
"RP11-645C24.2","RP11-645C24.2",NA,NA,NA,NA,0.00218200763380316,0.0378734182152978
"SRSF2","SRSF2",NA,NA,NA,NA,0.00168703492907651,0.032251121228086
"RP11-296A18.5","RP11-296A18.5",NA,NA,NA,NA,0.00315179501173868,0.0489160886402143
"EEF1D","EEF1D",NA,NA,NA,NA,0.000126542750795267,0.00594767011256804
"HCG18","HCG18",NA,NA,NA,NA,0.0027306933139214,0.0444914686492365
"SLC38A2","SLC38A2",NA,NA,NA,NA,0.00100912103078687,0.0235139023749106
"SEC22B","SEC22B",NA,NA,NA,NA,1.09488913048184e-05,0.00103595378922389
"N4BP2L2","N4BP2L2",NA,NA,NA,NA,0.00143866077144428,0.0293424696909678
"SUGT1","SUGT1",NA,NA,NA,NA,0.00024594911979392,0.00946514599025923
"RPL31","RPL31",NA,NA,NA,NA,0.000257756143282384,0.00974318221607411
"GALNT6","GALNT6",NA,NA,NA,NA,0.00322412169590425,0.0491734096672167
"CPNE1","CPNE1",NA,NA,NA,NA,0.00122133383585632,0.0260818975555432
"CYC1","CYC1",NA,NA,NA,NA,0.000413927418849158,0.0135309536281912
"ACSL3","ACSL3",NA,NA,NA,NA,0.00317873646408096,0.0489773979089767
"BAZ1B","BAZ1B",NA,NA,NA,NA,3.08565855694498e-05,0.00215110869072271
"DNAJC15","DNAJC15",NA,NA,NA,NA,0.00200045329605636,0.0357885655726261
"CBWD2","CBWD2",NA,NA,NA,NA,0.00114964975609688,0.0254372520455768
"RP11-848P1.4","RP11-848P1.4",NA,NA,NA,NA,0.00279095799038231,0.0452135194441935
"RBMX","RBMX",NA,NA,NA,NA,0.000562193526769117,0.0164141510295978
"IMPAD1","IMPAD1",NA,NA,NA,NA,0.00116344397950963,0.0254372520455768
"KIF20B","KIF20B",NA,NA,NA,NA,8.03009877424765e-05,0.00411421626957688
"C15orf48","C15orf48",NA,NA,NA,NA,2.54352094941623e-13,4.32652913495701e-10
"MLEC","MLEC",NA,NA,NA,NA,0.000198548993705971,0.00819737471587033
"WDR70","WDR70",NA,NA,NA,NA,5.65478467813296e-05,0.00322778145553831
"GAPDH","GAPDH",NA,NA,NA,NA,0.000253706861398473,0.00963293239372326
"CCT6A","CCT6A",NA,NA,NA,NA,4.43708388919717e-08,1.217335434762e-05
"NOP58","NOP58",NA,NA,NA,NA,3.46004546579737e-05,0.00230352602124172
"TSC22D1","TSC22D1",NA,NA,NA,NA,1.57194687111506e-06,0.000208897002169275
"ANXA4","ANXA4",NA,NA,NA,NA,2.62444235954451e-06,0.000323491047361247
"TMEM59","TMEM59",NA,NA,NA,NA,0.00236357782517671,0.0401242103854849
"NBPF14","NBPF14",NA,NA,NA,NA,4.13846890043867e-05,0.00256917357651321
"CD59","CD59",NA,NA,NA,NA,0.00108538984246342,0.0245511718355091
"EIF4EBP2","EIF4EBP2",NA,NA,NA,NA,0.000383368061122158,0.0128875310665769
"BUD31","BUD31",NA,NA,NA,NA,0.00103995148636549,0.0239680672191735
"TXNDC12","TXNDC12",NA,NA,NA,NA,0.00166640242331351,0.0322108013870031
"HNRNPA2B1","HNRNPA2B1",NA,NA,NA,NA,4.74014249104426e-05,0.00278033875078148
"FNDC3B","FNDC3B",NA,NA,NA,NA,0.0016493304566183,0.032042999684098
"RPS14","RPS14",NA,NA,NA,NA,3.10319620377975e-06,0.000361543612508859
"MIR4435-1HG","MIR4435-1HG",NA,NA,NA,NA,8.39392591102106e-05,0.00427003009759903
"RNF43","RNF43",NA,NA,NA,NA,0.00149727633669439,0.0300338095367589
"MPHOSPH8","MPHOSPH8",NA,NA,NA,NA,6.09358591519005e-05,0.00338731687638506
"ZFAS1","ZFAS1",NA,NA,NA,NA,0.000155800122924599,0.00686569971748037
"ARGLU1","ARGLU1",NA,NA,NA,NA,2.46997977626506e-10,1.61593676901034e-07
"CBWD3","CBWD3",NA,NA,NA,NA,2.60060536774187e-05,0.00192331727414301
"SMS","SMS",NA,NA,NA,NA,0.000222945657663343,0.00881931543454293
"S100A6","S100A6",NA,NA,NA,NA,1.27273321770538e-07,2.92556649096872e-05
"RP11-742N3.1","RP11-742N3.1",NA,NA,NA,NA,0.000264159060223812,0.00994103012036956
"RPS15A","RPS15A",NA,NA,NA,NA,0.000912184629850765,0.0217920670674579
"RSL1D1","RSL1D1",NA,NA,NA,NA,0.00038662973149739,0.0129086025086295
"GSPT1","GSPT1",NA,NA,NA,NA,1.71126734951343e-05,0.00141304163180697
"PPP6R2","PPP6R2",NA,NA,NA,NA,0.000442933498832954,0.0141623962582227
"TFB1M","TFB1M",NA,NA,NA,NA,0.000546276161111803,0.0161322178828329
"GPALPP1","GPALPP1",NA,NA,NA,NA,0.00320181460757096,0.0489773979089767
"VIPR1","VIPR1",NA,NA,NA,NA,0.000319137412628012,0.0114525894278533
"CTC-444N24.11","CTC-444N24.11",NA,NA,NA,NA,5.88611786648263e-05,0.00329351529305492
"VCL","VCL",NA,NA,NA,NA,0.00210355514502802,0.0371948783959737
"NTRK2","NTRK2",NA,NA,NA,NA,0.00089280842139583,0.0215108657902876
"CASP8AP2","CASP8AP2",NA,NA,NA,NA,0.0029501465210916,0.0470750397033472
"ACSL4","ACSL4",NA,NA,NA,NA,0.000994191103888098,0.023293651070436
"SMIM22","SMIM22",NA,NA,NA,NA,0.00263913724074027,0.043584198509701
"RAN","RAN",NA,NA,NA,NA,0.00270266266287,0.044241403575128
"SLC4A7","SLC4A7",NA,NA,NA,NA,0.00259965389146399,0.0431784886492754
"ZDHHC23","ZDHHC23",NA,NA,NA,NA,0.000578313797984786,0.0166167528779075
"EIF3A","EIF3A",NA,NA,NA,NA,0.000516576465900531,0.015860948889834
"EEF1A1","EEF1A1",NA,NA,NA,NA,5.41997547646167e-05,0.00313584295423854
"PRPF40A","PRPF40A",NA,NA,NA,NA,0.00060511374097838,0.0172123490535824
"MRPL18","MRPL18",NA,NA,NA,NA,5.86619072394656e-05,0.00329351529305492
"EZH1","EZH1",NA,NA,NA,NA,0.000302040574975959,0.0109312982560448
"DOCK5","DOCK5",NA,NA,NA,NA,0.00329925460930536,0.049471438837985
"ERGIC2","ERGIC2",NA,NA,NA,NA,0.00204958349946538,0.0364680076630817
"HSPD1","HSPD1",NA,NA,NA,NA,5.36941813233938e-09,2.28334506077732e-06
"CAND1","CAND1",NA,NA,NA,NA,3.49490703116517e-05,0.00230352602124172
"LGALS3","LGALS3",NA,NA,NA,NA,3.13359671544333e-10,1.90366000463182e-07
"RPL29","RPL29",NA,NA,NA,NA,0.000152535322383796,0.00679221422447215
"NABP1","NABP1",NA,NA,NA,NA,7.34390747132441e-05,0.00387949894680833
"HOOK2","HOOK2",NA,NA,NA,NA,0.000139350126396875,0.0063378225936119
"SOX4","SOX4",NA,NA,NA,NA,0.00183269046730705,0.0340328218874377
"ATL2","ATL2",NA,NA,NA,NA,0.000301985907630864,0.0109312982560448
"VMP1","VMP1",NA,NA,NA,NA,0.000640941498956771,0.0178380478752737
"ZNF207","ZNF207",NA,NA,NA,NA,0.00318233169286974,0.0489773979089767
"MLTK","MLTK",NA,NA,NA,NA,0.00076976143262697,0.0197200510202515
"ZC3H8","ZC3H8",NA,NA,NA,NA,0.00118690685084921,0.0256645951999347
"RP11-138A9.2","RP11-138A9.2",NA,NA,NA,NA,6.23893575646406e-06,0.000655088254428726
"TRA2A","TRA2A",NA,NA,NA,NA,5.54331834878852e-07,8.89545708612195e-05
"AOAH","AOAH",NA,NA,NA,NA,0.00299416609828829,0.0473718676430553
"SLC25A13","SLC25A13",NA,NA,NA,NA,4.64338743434434e-05,0.00276167903000689
"GLRX","GLRX",NA,NA,NA,NA,0.00271014359349109,0.044241403575128
"MT-ATP6","MT-ATP6",NA,NA,NA,NA,0.00269988711427982,0.044241403575128
"OCIAD2","OCIAD2",NA,NA,NA,NA,0.00118893010097287,0.0256645951999347
"C6orf62","C6orf62",NA,NA,NA,NA,0.000250780595660083,0.00960760795535588
"PTPN2","PTPN2",NA,NA,NA,NA,0.000833767722979273,0.0206740363963228
"NOTCH2NL","NOTCH2NL",NA,NA,NA,NA,0.000120087680412495,0.00573789731409141
"HSD11B2","HSD11B2",NA,NA,NA,NA,0.000990021725164714,0.0232600408080826
"RABGGTB","RABGGTB",NA,NA,NA,NA,0.00316755970766869,0.0489773979089767
"NME1-NME2","NME1-NME2",NA,NA,NA,NA,0.000478462440285932,0.0150715668690068
"PDZD8","PDZD8",NA,NA,NA,NA,0.00180562528997008,0.0337513034971331
"C2CD5","C2CD5",NA,NA,NA,NA,0.00199095564337504,0.0357662334556577
"NONO","NONO",NA,NA,NA,NA,0.00192838076682866,0.0349698900253258
"NUDT3","NUDT3",NA,NA,NA,NA,0.000462881344740484,0.0146349659368692
"RRM1","RRM1",NA,NA,NA,NA,1.39030081434122e-05,0.00123171962770542
"SERP1","SERP1",NA,NA,NA,NA,0.0029799581823291,0.0473718676430553
"TBP","TBP",NA,NA,NA,NA,0.001328607255345,0.0275604992846567
"CCNL2","CCNL2",NA,NA,NA,NA,0.000744631917264593,0.0194266701114582
"RP11-285F7.2","RP11-285F7.2",NA,NA,NA,NA,0.00164418245657416,0.032042999684098
"RP11-1033A18.1","RP11-1033A18.1",NA,NA,NA,NA,0.00188427246414091,0.0346899517434663
"PSMB1","PSMB1",NA,NA,NA,NA,0.00186264157988125,0.0344632082568688
"OPA1","OPA1",NA,NA,NA,NA,0.00296899387986294,0.0472870654461316
"STAU1","STAU1",NA,NA,NA,NA,1.03318942614727e-05,0.00101003173211294
"DHX15","DHX15",NA,NA,NA,NA,1.9129628886061e-05,0.00153488201581083
"RBM6","RBM6",NA,NA,NA,NA,1.09624739600411e-05,0.00103595378922389
"ARFGEF1","ARFGEF1",NA,NA,NA,NA,0.000179045432767699,0.00758542597298626
"KRT19","KRT19",NA,NA,NA,NA,6.27773864755321e-05,0.00346702384398961
"SLC12A2","SLC12A2",NA,NA,NA,NA,1.86965163666564e-05,0.00151807576238672
"DLEU1","DLEU1",NA,NA,NA,NA,0.000157241852489109,0.00689351523412307
"NAT9","NAT9",NA,NA,NA,NA,0.00208083777754098,0.0368698443708042
"PABPC1","PABPC1",NA,NA,NA,NA,2.78193172109642e-06,0.000338004704113215
"MT1G","MT1G",NA,NA,NA,NA,1.67569291775749e-11,1.42517682655274e-08
"VDAC1","VDAC1",NA,NA,NA,NA,0.000388548176626591,0.0129086025086295
"AGTPBP1","AGTPBP1",NA,NA,NA,NA,0.00112253045038124,0.0250039109915571
"PGRMC1","PGRMC1",NA,NA,NA,NA,0.00147538028614314,0.0296645610724524
"RPL18","RPL18",NA,NA,NA,NA,4.00538144873508e-08,1.17468169729282e-05
"LIMA1","LIMA1",NA,NA,NA,NA,0.00230904309456581,0.039513906477429
"CBWD5","CBWD5",NA,NA,NA,NA,0.0019281666252059,0.0349698900253258
"CPNE2","CPNE2",NA,NA,NA,NA,0.00237634533007203,0.0402605916977342
"EIF2S3","EIF2S3",NA,NA,NA,NA,1.46977613080246e-07,3.28959105065129e-05
"EAF1","EAF1",NA,NA,NA,NA,0.00193658179605383,0.035043889734974
"RP11-203F10.6","RP11-203F10.6",NA,NA,NA,NA,3.52096863917017e-05,0.00230352602124172
"RPL7","RPL7",NA,NA,NA,NA,0.000456505598445234,0.0144872392342415
"RPL21P28","RPL21P28",NA,NA,NA,NA,0.000253182960838982,0.00963293239372326
"NBPF1","NBPF1",NA,NA,NA,NA,0.000134682597930591,0.0062254103010852
"LRPPRC","LRPPRC",NA,NA,NA,NA,0.00037316669411791,0.0126445527229993
"RPL13","RPL13",NA,NA,NA,NA,1.05526045013349e-06,0.000157438908711556
"SULT1B1","SULT1B1",NA,NA,NA,NA,1.36951093809845e-06,0.0001909457463693
"HTT","HTT",NA,NA,NA,NA,0.00300563339150195,0.0474223763786365
"FTH1P10","FTH1P10",NA,NA,NA,NA,1.6279302883504e-07,3.37696270790735e-05
"RPL23","RPL23",NA,NA,NA,NA,6.64958990803655e-06,0.000681382676721094
"HSP90B1","HSP90B1",NA,NA,NA,NA,0.000669280006567963,0.018204818261488
"CCNC","CCNC",NA,NA,NA,NA,0.000576133279344138,0.0166167528779075
"MACC1","MACC1",NA,NA,NA,NA,1.00575559458527e-05,0.000994645503714848
"HLA-A","HLA-A",NA,NA,NA,NA,0.000412777595953151,0.0135309536281912
"EFR3A","EFR3A",NA,NA,NA,NA,0.000140346356143795,0.00634917956916475
"CPT1A","CPT1A",NA,NA,NA,NA,0.000363651821579491,0.0124955368173338
"CBWD1","CBWD1",NA,NA,NA,NA,0.000129677535974926,0.00602681663096581
"TSPAN1","TSPAN1",NA,NA,NA,NA,1.83299955214267e-08,6.49569216290558e-06
"RRAGC","RRAGC",NA,NA,NA,NA,0.0030630800881366,0.0479769726512004
"EIF2S2","EIF2S2",NA,NA,NA,NA,0.000139246652045566,0.0063378225936119
"RPL18AP3","RPL18AP3",NA,NA,NA,NA,0.00072410910039522,0.0191855074730883
"TMED7","TMED7",NA,NA,NA,NA,0.000442905837963692,0.0141623962582227
"PKIB","PKIB",NA,NA,NA,NA,0.000913370284821746,0.0217920670674579
"PPA1","PPA1",NA,NA,NA,NA,4.84332876271587e-06,0.000534967676972708
"MTHFD1","MTHFD1",NA,NA,NA,NA,0.000191418555941625,0.00798046479550745
"C10orf99","C10orf99",NA,NA,NA,NA,2.87318339076137e-06,0.000344174996315851
"ZFX","ZFX",NA,NA,NA,NA,0.00323672311302781,0.0491925625981789
"TMEM54","TMEM54",NA,NA,NA,NA,1.87416760788484e-05,0.00151807576238672
"ZNF121","ZNF121",NA,NA,NA,NA,0.000818711350843326,0.0205402361030162
"PLAC8","PLAC8",NA,NA,NA,NA,0.00323912338513133,0.0491925625981789
"ADNP","ADNP",NA,NA,NA,NA,3.81817432996145e-05,0.00244162200573851
"ZKSCAN1","ZKSCAN1",NA,NA,NA,NA,0.00150599565742948,0.0301376307445594
"HMGB1","HMGB1",NA,NA,NA,NA,5.0492638687949e-06,0.000550563964155136
"FGFR1OP2","FGFR1OP2",NA,NA,NA,NA,5.80346882605998e-05,0.00329056682437601
"MYLK","MYLK",NA,NA,NA,NA,5.55354037818923e-05,0.00319140952138509
"RPL35A","RPL35A",NA,NA,NA,NA,0.00239481522847251,0.0404928499366973
"NAA10","NAA10",NA,NA,NA,NA,3.07878236872616e-05,0.00215110869072271
"MAPK9","MAPK9",NA,NA,NA,NA,0.00327415288077226,0.0492861420371117
"DEK","DEK",NA,NA,NA,NA,0.000282659125125817,0.0104522428660655
"SULT1A1","SULT1A1",NA,NA,NA,NA,0.000784190886483183,0.0198498318141056
"ATP6V1F","ATP6V1F",NA,NA,NA,NA,0.00270856003220687,0.044241403575128
"SLC9A4","SLC9A4",NA,NA,NA,NA,0.00052529546007507,0.0160115257792591
"RIC8B","RIC8B",NA,NA,NA,NA,0.00325800928134734,0.0492222491123339
"CDK4","CDK4",NA,NA,NA,NA,0.00284613331192829,0.0458453860188449
"HIPK1","HIPK1",NA,NA,NA,NA,0.00173459057116865,0.0327110705272491
"RASSF3","RASSF3",NA,NA,NA,NA,0.00116327511319481,0.0254372520455768
"KPNA6","KPNA6",NA,NA,NA,NA,0.00101761163985969,0.0235825258774025
"PSMA7","PSMA7",NA,NA,NA,NA,0.000163502373876745,0.00709483515215161
"PTCD3","PTCD3",NA,NA,NA,NA,3.64986401456546e-05,0.00235167374574843
"PPP1R15A","PPP1R15A",NA,NA,NA,NA,0.000312495650182321,0.011261760613562
"CSNK1E","CSNK1E",NA,NA,NA,NA,4.12940647570581e-05,0.00256917357651321
"SECISBP2","SECISBP2",NA,NA,NA,NA,0.00199079801370461,0.0357662334556577
"ANP32B","ANP32B",NA,NA,NA,NA,0.00076594230528837,0.0197200510202515
"GRHL2","GRHL2",NA,NA,NA,NA,0.000865132180655759,0.0211435321737851
"RP11-673C5.1","RP11-673C5.1",NA,NA,NA,NA,0.000563542868976197,0.0164141510295978
"KB-1208A12.3","KB-1208A12.3",NA,NA,NA,NA,2.63423370984173e-05,0.0019313929053624
"PRKDC","PRKDC",NA,NA,NA,NA,1.66154767033966e-06,0.000217407122095981
"FAM211A","FAM211A",NA,NA,NA,NA,4.69853545090881e-05,0.00277507250069302
"DDX21","DDX21",NA,NA,NA,NA,6.35794566067327e-05,0.00348866631251782
"OGT","OGT",NA,NA,NA,NA,0.00259185106934734,0.0431383431405071
"RAB22A","RAB22A",NA,NA,NA,NA,9.91260977621922e-05,0.00493021907290903
"MT-ND3","MT-ND3",NA,NA,NA,NA,0.0014453521677299,0.0294010628617259
"AC132872.2","AC132872.2",NA,NA,NA,NA,0.00190478629796575,0.0346899517434663
"HMGCR","HMGCR",NA,NA,NA,NA,0.00113169321901974,0.0251306810124357
"NCL","NCL",NA,NA,NA,NA,1.43776242000904e-06,0.000197228538422207
"SERPINE2","SERPINE2",NA,NA,NA,NA,0.00207808489443573,0.0368698443708042
"FOXA2","FOXA2",NA,NA,NA,NA,0.00324480042534725,0.0491925625981789
"GPX2","GPX2",NA,NA,NA,NA,0.00326246146837716,0.0492222491123339
"FTSJ1","FTSJ1",NA,NA,NA,NA,0.00161821831658071,0.0317559303775734
"CNPY3","CNPY3",NA,NA,NA,NA,0.00172015838508799,0.0326561318419048
"KDM4C","KDM4C",NA,NA,NA,NA,2.97821920003383e-06,0.000351802143003996
"AHI1","AHI1",NA,NA,NA,NA,0.000827021969435848,0.0206246125530344
"HSP90AB1","HSP90AB1",NA,NA,NA,NA,1.43458545043273e-09,7.62571828495651e-07
"TMSB4XP4","TMSB4XP4",NA,NA,NA,NA,0.00156173645889612,0.0311067179927671
"RP11-134G8.6","RP11-134G8.6",NA,NA,NA,NA,5.57570187498246e-06,0.000592766805584073
"PGM3","PGM3",NA,NA,NA,NA,3.27465533310756e-05,0.00224782260247586
"RARS","RARS",NA,NA,NA,NA,6.59037917679628e-05,0.00355236050209966
"TRIP12","TRIP12",NA,NA,NA,NA,0.000239353636231732,0.00925319398250399
"ANKRD36C","ANKRD36C",NA,NA,NA,NA,0.000282505216586681,0.0104522428660655
"RPS20P14","RPS20P14",NA,NA,NA,NA,0.000537527315838782,0.0160115257792591
"RNF128","RNF128",NA,NA,NA,NA,0.000829349499487098,0.0206246125530344
"RTFDC1","RTFDC1",NA,NA,NA,NA,0.000848939247428238,0.0208909020295406
"RP1-228H13.1","RP1-228H13.1",NA,NA,NA,NA,0.00101736655147699,0.0235825258774025
"HSPA1A","HSPA1A",NA,NA,NA,NA,0.00109396884240409,0.0246142989540921
"ABCD4","ABCD4",NA,NA,NA,NA,0.00174108878290169,0.0327609736694223
"GOLM1","GOLM1",NA,NA,NA,NA,0.00259022613873927,0.0431383431405071
